order_id,order_date,customer_id,region,product_category,product_name,quantity,unit_price,discount
ORD503159,2024-12-24,C102574,,Apparel,Hoodie,1,48.83,0.0
ORD503208,2024-06-24,C100508,East,Beauty,Hand Cream,2,17.71,0.0
ORD502831,2024-11-29,C100615,West,Apparel,Baseball Cap,1,22.46,0.1
ORD500718,2024-11-22,C101591,,BEAUTY,Face Serum,3,46.47,0.15
ORD504016,2024-12-20,C101998,Central,Electronics,USB-C Charger,1,24.1,0.0
ORD502019,2024-03-04,C102058,North,Sports & Outdoors,Trekking Poles,3,75.98,0.0
ORD504021,2024-02-19,C101693,West,Electronics,USB-C Charger,4,28.14,0.0
ORD500135,2024-01-20,C102297,North,Sports & Outdoors,Yoga Mat,1,37.89,0.15
ORD500325,2024-09-16,C100438,West,Home & Kitchen,Storage Containers,1,27.21,0.0
ORD500474,2024-12-12,C100944,East,Electronics,Bluetooth Speaker,4,51.98,0.1
ORD502643,2024-11-22,C100872,Central,Home & Kitchen,Ceramic Mug Set,1,34.83,0.15
ORD504636,2024-04-09,C101606,Central,Sports & Outdoors,Camping Lantern,2,45.6,0.0
ORD502739,2024-01-13,C100622,Central,Electronics,USB-C Charger,1,26.1,0.2
ORD504517,2024-08-06,C101818,East,Beauty,Shampoo Bar,3,11.53,0.0
ORD504108,2024-10-18,C100595,South,Apparel,Baseball Cap,1,24.29,0.2
ORD503055,2024-06-29,C101462,North,Electronics,Laptop Stand,2,43.68,0.0
ORD503099,2024-06-05,C100944,East,Home & Kitchen,Chef's Knife,3,69.31,0.0
ORD504559,2024-07-08,C101681,West,sports & outdoors,Water Bottle,1,25.59,0.0
ORD504759,2024-12-31,C101250,,Electronics,Bluetooth Speaker,1,65.08,0.1
ORD502492,2024-02-28,C100638,West,Beauty,Hand Cream,1,19.02,0.0
ORD504639,2024-07-31,C100050,North,Sports & Outdoors,Camping Lantern,1,46.5,0.15
ORD501811,2024-07-14,C101109,North,Apparel,Hoodie,4,51.87,0.0
ORD501308,2024-09-28,C100875,Central,Sports & Outdoors,Yoga Mat,3,34.95,0.0
ORD505199,2024-10-21,C101638,South,Electronics,Laptop Stand,4,41.23,0.1
ORD505110,2024-10-29,C101277,North,Beauty,Lip Balm Trio,1,17.37,0.0
ORD502762,2024-06-12,C101617,,Sports & Outdoors,Resistance Bands,1,30.58,0.0
